gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3433843839	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/bb9b7cf7-ed8a-4f8a-9db4-495b3b994f46_image.jpg	https://www.artportalen.se/Image/3542780					2021-08-11T00:00:00Z				© all rights reserved	Martin Gunnarsson
3433843839	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/5e6877d0-7624-45ce-bb22-7bf69f47391d_image.jpg	https://www.artportalen.se/Image/3542781					2021-08-11T00:00:00Z				© all rights reserved	Martin Gunnarsson
3433843839	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/29aa3877-79da-4e94-84d4-469aa73520e1_image.jpg	https://www.artportalen.se/Image/3542779					2021-08-11T00:00:00Z				© all rights reserved	Martin Gunnarsson
3433843839	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/13b292d2-964f-455b-8a77-03103f0b6c47_image.jpg	https://www.artportalen.se/Image/3542782					2021-08-11T00:00:00Z				© all rights reserved	Martin Gunnarsson
3433832880	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/48b18dde-7669-47cf-a647-a3419dd8d68f_image.jpg	https://www.artportalen.se/Image/3453615					2021-07-06T00:00:00Z				© all rights reserved	Mats Havskogen
3433768981	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/b6e78b31-7877-419a-81d6-a5a63596e779_image.jpg	https://www.artportalen.se/Image/3378306					2021-06-04T00:00:00Z				© all rights reserved	Peter Mattsson
3433755483	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/1badf95a-ba73-44ae-9ae1-ddd21e8fbd7c_image.jpg	https://www.artportalen.se/Image/3504019					2021-07-26T00:00:00Z				© all rights reserved	Ewa Bryntesson
3433755483	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/9132a5cb-cfe0-451f-b70d-ba00d7988607_image.jpg	https://www.artportalen.se/Image/3504020					2021-07-26T00:00:00Z				© all rights reserved	Ewa Bryntesson
3433755483	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/2efe6dd8-9b0c-4252-acd2-528d9fc857ac_image.jpg	https://www.artportalen.se/Image/3504021					2021-07-26T00:00:00Z				© all rights reserved	Ewa Bryntesson
3433755483	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/c3dff52a-777c-4a18-aea1-1b592feaed92_image.jpg	https://www.artportalen.se/Image/3504018					2021-07-26T00:00:00Z				© all rights reserved	Ewa Bryntesson
3433730353	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/52d3f02d-e6fb-4ca9-9ffa-cc2f3c381f49_image.jpg	https://www.artportalen.se/Image/3495846					2021-07-22T00:00:00Z				© all rights reserved	Elisabet Goliath Dyrenäs
3433730353	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/353e0467-8802-45b5-9a1d-9eeb875ba3da_image.jpg	https://www.artportalen.se/Image/3495847					2021-07-22T00:00:00Z				© all rights reserved	Elisabet Goliath Dyrenäs
3433699350	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/4e34308b-3b77-4b35-8954-1137acc33ed0_image.jpg	https://www.artportalen.se/Image/3407039					2021-06-18T00:00:00Z				© all rights reserved	Tobias Lundström
3433685779	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/12/ee2421cf-840e-4d3b-a86f-64e20e95c7f9_image.jpg	https://www.artportalen.se/Image/3737117					2021-12-19T00:00:00Z				© all rights reserved	Fredrik Fahlquist
3433628561	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/560199b4-a1c0-44ff-ad4c-fadabbb80131_image.jpg	https://www.artportalen.se/Image/3516193					2021-07-31T00:00:00Z				© all rights reserved	Aimon Niklasson
3433617477	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/88e1ffda-84f3-4625-841e-84c27017133d_image.jpg	https://www.artportalen.se/Image/3509785					2021-07-28T00:00:00Z				© all rights reserved	Krister Olsson
3433600855	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/c5c8f8af-efa7-40dd-a5a1-7855b962b4ff_image.jpg	https://www.artportalen.se/Image/3451468					2021-07-06T00:00:00Z				© all rights reserved	Anne  Harbom Jäderlund
3433537632	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/63d1267f-e6d6-401c-ac32-0efda3ab84d0_image.jpg	https://www.artportalen.se/Image/3522952					2021-08-02T00:00:00Z				© all rights reserved	Leif Karlsson
3433423053	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/f4560536-b5e7-4052-8e0f-15cac3f9008e_image.jpg	https://www.artportalen.se/Image/3639075					2021-09-26T00:00:00Z				© all rights reserved	Thomaz Carlzon
3433422119	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/11/c23da1a6-85b6-49fc-81c0-096a0f9bb7a7_image.jpg	https://www.artportalen.se/Image/3702396					2021-11-08T00:00:00Z				© all rights reserved	Lars Åke Friberg
3433361423	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/9a9e474a-c2be-42f6-9886-e362435a9a5e_image.jpg	https://www.artportalen.se/Image/3499426					2021-07-24T00:00:00Z				© all rights reserved	Bengt Stridh
3433354328	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/055531ab-a6ac-4842-8b75-51051bbbf1b1_image.jpg	https://www.artportalen.se/Image/3577730					2021-08-26T00:00:00Z				© all rights reserved	Elin Nyman
3433354328	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/fd3e7c3d-121f-4e81-bf26-ce6c24e82e2f_image.jpg	https://www.artportalen.se/Image/3577727					2021-08-26T00:00:00Z				© all rights reserved	Elin Nyman
3433354328	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/33c8f06e-d752-4625-893e-d855f8a6cb1e_image.jpg	https://www.artportalen.se/Image/3577729					2021-08-26T00:00:00Z				© all rights reserved	Elin Nyman
3433354328	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/47da48bf-ecaa-4ce4-89e1-f1024f904824_image.jpg	https://www.artportalen.se/Image/3577728					2021-08-26T00:00:00Z				© all rights reserved	Elin Nyman
3433354328	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/45c480d2-4c97-4872-864f-35030bf2a110_image.jpg	https://www.artportalen.se/Image/3577726					2021-08-26T00:00:00Z				© all rights reserved	Elin Nyman
3433299563	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/bb71b45a-abff-4064-870b-e6c3327decc5_image.jpg	https://www.artportalen.se/Image/3597650					2021-09-05T00:00:00Z				© all rights reserved	Erik Myrberg
3433241989	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/f52983b1-1b84-49f4-afe4-18de8ebc2b67_image.jpg	https://www.artportalen.se/Image/3633009					2021-09-22T00:00:00Z				© all rights reserved	Stefan Hult
3433230822	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/12/1d9dbbac-dee8-4b25-a7e2-e712135b5d87_image.jpg	https://www.artportalen.se/Image/3739376					2021-12-22T00:00:00Z				© all rights reserved	Benny Ranebjer
3433191511	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/a9a2ede1-6771-4c37-b393-a003c1d617ce_image.jpg	https://www.artportalen.se/Image/3513807					2021-07-30T00:00:00Z				© all rights reserved	Anne-Charlotte  Frisk
3433191511	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/fcec6c89-980c-4398-bf26-4db462fb15a7_image.jpg	https://www.artportalen.se/Image/3513809					2021-07-30T00:00:00Z				© all rights reserved	Anne-Charlotte  Frisk
3433191511	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/f11cd9a6-7795-41a0-b871-d3a3930da873_image.jpg	https://www.artportalen.se/Image/3513808					2021-07-30T00:00:00Z				© all rights reserved	Anne-Charlotte  Frisk
3433037173	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/fd98ddd3-c868-4235-908c-01c008fe5d7c_image.jpg	https://www.artportalen.se/Image/3480570					2021-07-17T00:00:00Z				© all rights reserved	Anna Arvidsson
3433017231	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/6/8d816217-44fa-4d58-8fdf-ef1e850fb1c0_image.jpg	https://www.artportalen.se/Image/3400782					2021-06-14T00:00:00Z				© all rights reserved	Lennart Iselius
3432944560	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/c592d23e-b3a2-48e4-af1b-10bb0ba72659_image.jpg	https://www.artportalen.se/Image/3514955					2021-07-30T00:00:00Z				© all rights reserved	Hedwig Lasinger
3432903340	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/efc336fb-a445-4e50-832c-6e531f8d8ec5_image.jpg	https://www.artportalen.se/Image/3498257					2021-07-23T00:00:00Z				© all rights reserved	sara jern
3432903340	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/f5d6342a-bd31-4109-97f5-41d24d6ac618_image.jpg	https://www.artportalen.se/Image/3498258					2021-07-23T00:00:00Z				© all rights reserved	sara jern
3432894595	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/dbf1bc2f-7ec9-45e3-ac13-f741052fc6af_image.jpg	https://www.artportalen.se/Image/3600144					2021-09-06T00:00:00Z				© all rights reserved	Rolf Lindahl
3432881100	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/031fce12-3310-4e50-bf75-1aaf58383cab_image.jpg	https://www.artportalen.se/Image/3470065					2021-07-12T00:00:00Z				© all rights reserved	Martina Lindquist
3432881100	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/c3ca0337-34e5-4a79-b239-4f552cb46364_image.jpg	https://www.artportalen.se/Image/3470066					2021-07-12T00:00:00Z				© all rights reserved	Martina Lindquist
3432864686	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/10/39386c97-7c60-49ae-b286-2ab8b49e4332_image.jpg	https://www.artportalen.se/Image/3677488					2021-10-20T00:00:00Z				© all rights reserved	Göran Hausenkamp
3432803237	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/e3ff1432-b902-4883-bec3-b9bc7b99bdcf_image.jpg	https://www.artportalen.se/Image/3486214					2021-07-19T00:00:00Z				© all rights reserved	Anna Feuk
3432773260	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/649561e4-22f3-4fda-aa0c-4af5da04961d_image.jpg	https://www.artportalen.se/Image/3575750					2021-08-25T00:00:00Z				© all rights reserved	Ann-Charlotte  Åström Larsson
3432743145	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/dcd4e815-16eb-4a4b-8379-5bb341c4ce25_image.jpg	https://www.artportalen.se/Image/3566162					2021-08-21T00:00:00Z				© all rights reserved	Göran Hausenkamp
3432737527	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/1cf27458-12a7-4793-95c1-0805efe81d79_image.jpg	https://www.artportalen.se/Image/3512050					2021-07-29T00:00:00Z				© all rights reserved	Göran  Sjöblom
3432704123	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/5081c240-8180-46d8-82e4-68d27b2529ff_image.jpg	https://www.artportalen.se/Image/3645341					2021-09-29T00:00:00Z				© all rights reserved	Jan Lindström
3432702621	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/af6e2733-b0a7-49ba-87fa-2adaa72d8ce3_image.jpg	https://www.artportalen.se/Image/3522445					2021-08-02T00:00:00Z				© all rights reserved	Robert  Brodin
3432702621	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/e4b5b1fc-fa46-4fca-8c9b-22f00846d085_image.jpg	https://www.artportalen.se/Image/3522444					2021-08-02T00:00:00Z				© all rights reserved	Robert  Brodin
3432677744	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/24cb49f8-4935-4c9e-b652-d87aee96f98d_image.jpg	https://www.artportalen.se/Image/3611775					2021-09-11T00:00:00Z				© all rights reserved	Björn Karlsson
3432677744	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/9/7f0364d3-6984-4955-aca3-6ee8dacd032d_image.jpg	https://www.artportalen.se/Image/3611776					2021-09-11T00:00:00Z				© all rights reserved	Björn Karlsson
3432654778	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/400e02c1-32a0-4295-9ef7-438d62dcebd2_image.jpg	https://www.artportalen.se/Image/3534405					2021-08-07T00:00:00Z				© all rights reserved	Ida Sjödin
3432654778	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/f60f0f59-8e66-4853-8a9d-cbd27273265f_image.jpg	https://www.artportalen.se/Image/3534404					2021-08-07T00:00:00Z				© all rights reserved	Ida Sjödin
3432654778	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/469d0d4a-ad6e-47d5-a696-5d2c7d25e395_image.jpg	https://www.artportalen.se/Image/3534406					2021-08-07T00:00:00Z				© all rights reserved	Ida Sjödin
3432594593	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/12/4b60541f-8f13-4034-bf17-5546620e3ece_image.jpg	https://www.artportalen.se/Image/3730911					2021-12-11T00:00:00Z				© all rights reserved	Joakim Creutz
3432594593	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/12/30cca292-2631-4004-847c-8d0c910727f4_image.jpg	https://www.artportalen.se/Image/3730912					2021-12-11T00:00:00Z				© all rights reserved	Joakim Creutz
3432535064	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/7/5e061ddf-f057-4962-928a-ceca7eb311b5_image.jpg	https://www.artportalen.se/Image/3465026					2021-07-11T00:00:00Z				© all rights reserved	Sten Mu Yu Widhe
3432492653	StillImage	image/jpeg	https://www.artportalen.se/MediaLibrary/2021/8/b4c35d4e-986d-48ae-a04c-a98bbd726c40_image.jpg	https://www.artportalen.se/Image/3526520					2021-08-04T00:00:00Z				© all rights reserved	Mikael Forsman
